hotel;arrival_date_year;arrival_date_month;arrival_date_week_number;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;reserved_room_type;assigned_room_type;deposit_type;reservation_status;reservation_status_date;last_updated
Resort Hotel;2015;July;27;1;0;0;2;0;0;BB;PRT;C;C;No Deposit;Check-Out;01/07/2015;01/07/2015
Resort Hotel;2015;July;27;1;0;0;2;0;0;BB;PRT;C;C;No Deposit;Check-Out;01/07/2015;
Resort Hotel;2015;July;27;1;0;1;1;0;0;BB;GBR;A;C;No Deposit;Check-Out;02/07/2015;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;2015;July;30;25;2;2;2;0;0;BB;ITA;A;A;No Deposit;Check-Out;29/07/2015;
City Hotel;2015;July;30;25;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;22/07/2015;
City Hotel;2015;July;30;25;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;22/07/2015;
Resort Hotel;2015;July;27;1;0;1;1;0;0;BB;GBR;A;A;No Deposit;Check-Out;02/07/2015;
Resort Hotel;2015;July;27;1;0;2;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;1;0;2;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;03/07/2015;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
Resort Hotel;2015;July;27;1;0;2;2;0;0;BB;PRT;C;C;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;1;0;2;2;0;0;FB;PRT;C;C;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;1;0;3;2;0;0;BB;PRT;A;A;No Deposit;Canceled;06/05/2015;
Resort Hotel;2015;July;27;1;0;3;2;0;0;HB;PRT;D;D;No Deposit;Canceled;22/04/2015;
Resort Hotel;2015;July;27;1;0;4;2;0;0;BB;PRT;E;E;No Deposit;Canceled;23/06/2015;
Resort Hotel;2015;July;27;1;0;4;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;1;0;1;2;0;0;BB;IRL;A;E;No Deposit;Check-Out;02/07/2015;
Resort Hotel;2015;July;27;1;0;1;2;0;0;BB;FRA;A;G;No Deposit;Check-Out;02/07/2015;
Resort Hotel;2015;July;27;1;0;4;2;0;0;BB;GBR;G;G;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;1;1;4;1;0;0;BB;GBR;F;F;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;1;2;4;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;1;2;4;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;1;2;4;2;0;0;BB;PRT;D;D;No Deposit;Check-Out;07/07/2015;07/07/2015
Resort Hotel;2015;July;27;1;2;5;2;0;0;HB;GBR;D;I;No Deposit;Check-Out;01/07/2015;01/07/2015
Resort Hotel;2015;July;27;1;2;5;2;0;0;BB;PRT;D;D;No Deposit;Check-Out;08/07/2015;08/07/2015
Resort Hotel;2015;July;27;1;2;5;2;0;0;BB;IRL;D;D;No Deposit;Check-Out;08/07/2015;08/07/2015
Resort Hotel;2015;July;27;1;2;5;2;0;0;BB;PRT;E;E;No Deposit;Canceled;11/05/2015;11/05/2015
Resort Hotel;2015;July;27;1;2;5;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;08/07/2015;08/07/2015
Resort Hotel;2015;July;27;1;2;5;2;0;0;BB;PRT;D;D;No Deposit;Check-Out;08/07/2015;08/07/2015
Resort Hotel;2015;July;27;1;4;10;1;0;0;BB;;A;A;No Deposit;Check-Out;15/07/2015;15/07/2015
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
Resort Hotel;2015;July;27;1;4;11;2;0;0;BB;GBR;D;D;No Deposit;Check-Out;16/07/2015;16/07/2015
Resort Hotel;2015;July;27;1;2;8;2;0;0;BB;PRT;E;E;No Deposit;Canceled;29/05/2015;29/05/2015
Resort Hotel;2015;July;27;2;2;4;2;0;0;BB;IRL;A;C;No Deposit;Check-Out;08/07/2015;08/07/2015
Resort Hotel;2015;July;27;2;1;3;3;0;0;BB;PRT;D;D;No Deposit;Canceled;19/05/2015;19/05/2015
Resort Hotel;2015;July;27;2;1;3;3;0;0;BB;PRT;D;D;No Deposit;Canceled;19/06/2015;19/06/2015
Resort Hotel;2015;July;27;2;1;3;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;2;1;3;3;0;0;BB;PRT;D;D;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;2;1;3;3;0;0;BB;PRT;D;D;No Deposit;Canceled;23/05/2015;
Resort Hotel;2015;July;27;2;2;3;2;0;0;HB;ROU;E;E;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;2;2;3;2;0;0;BB;PRT;G;G;No Deposit;Canceled;18/05/2015;
Resort Hotel;2015;July;27;2;2;3;2;0;0;BB;IRL;D;D;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;2;2;3;2;0;0;BB;ESP;F;F;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;2;2;3;2;0;0;HB;ROU;E;E;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;2;2;5;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;27;2;2;5;2;2;0;BB;PRT;G;G;No Deposit;Canceled;02/06/2015;
Resort Hotel;2015;July;27;2;2;5;2;0;0;BB;ESP;A;A;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;27;2;2;5;2;0;0;BB;NOR;E;E;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;27;2;2;5;2;0;0;HB;GBR;A;B;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;27;2;2;5;2;0;0;HB;IRL;E;F;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;27;2;2;5;2;0;0;BB;NOR;D;D;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;27;2;3;8;2;0;0;BB;IRL;A;A;No Deposit;Check-Out;13/07/2015;
Resort Hotel;2015;July;27;2;4;10;2;0;0;BB;OMN;D;D;No Deposit;Check-Out;16/07/2015;
Resort Hotel;2015;July;27;2;0;1;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;2;0;1;2;0;0;BB;ARG;H;H;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;2;0;1;2;2;0;BB;ESP;C;C;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;2;0;1;2;0;0;BB;PRT;H;H;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;2;0;1;2;0;0;BB;PRT;A;D;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;2;0;1;2;0;0;BB;PRT;G;G;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;2;0;2;2;0;0;BB;USA;A;C;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;2;0;2;2;0;0;BB;PRT;G;G;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;2;0;2;2;0;0;BB;IRL;E;E;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;2;0;3;2;0;0;BB;ESP;F;F;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;2;0;3;2;0;0;BB;IRL;A;C;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;2;0;3;2;0;0;HB;PRT;A;A;No Deposit;Canceled;29/06/2015;
Resort Hotel;2015;July;27;3;0;2;2;2;0;BB;USA;G;H;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;POL;D;D;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;3;0;2;3;0;0;BB;PRT;A;A;No Deposit;Canceled;16/06/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;18/06/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;PRT;D;D;No Deposit;Canceled;03/07/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;12/06/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;HB;PRT;A;A;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;ESP;A;A;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;3;0;2;3;0;0;BB;PRT;A;A;No Deposit;Canceled;09/06/2015;
Resort Hotel;2015;July;27;3;1;2;2;0;0;BB;ESP;A;A;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;3;1;2;2;0;0;BB;PRT;E;E;No Deposit;Canceled;26/05/2015;
Resort Hotel;2015;July;27;3;2;2;1;0;0;BB;PRT;A;A;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;3;2;2;2;0;0;BB;DEU;A;A;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;3;2;6;3;0;0;BB;PRT;D;D;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;27;3;2;7;2;0;0;BB;FRA;A;A;No Deposit;Check-Out;12/07/2015;
Resort Hotel;2015;July;27;3;3;7;2;0;0;BB;PRT;A;A;No Deposit;Canceled;19/05/2015;
Resort Hotel;2015;July;27;3;3;7;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;13/07/2015;
Resort Hotel;2015;July;27;3;3;7;2;0;0;HB;PRT;A;A;No Deposit;Canceled;09/06/2015;
Resort Hotel;2015;July;27;3;3;7;2;0;0;HB;GBR;E;E;No Deposit;Check-Out;13/07/2015;
Resort Hotel;2015;July;27;3;4;10;2;0;0;HB;;E;E;No Deposit;Check-Out;17/07/2015;
Resort Hotel;2015;July;27;3;4;10;2;0;0;BB;GBR;F;F;No Deposit;Check-Out;17/07/2015;
Resort Hotel;2015;July;27;3;6;15;2;1;0;BB;PRT;A;A;No Deposit;Canceled;15/04/2015;
Resort Hotel;2015;July;27;3;0;1;2;0;0;BB;GBR;A;C;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;3;0;1;2;0;0;BB;PRT;A;C;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;3;0;1;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;3;0;1;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;3;0;1;2;0;0;BB;USA;C;C;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;3;0;1;2;0;0;BB;BEL;A;A;No Deposit;Check-Out;04/07/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;26/05/2015;
Resort Hotel;2015;July;27;3;0;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;29/06/2015;
Resort Hotel;2015;July;27;3;2;5;2;0;0;BB;PRT;F;F;No Deposit;Canceled;13/05/2015;
Resort Hotel;2015;July;27;3;2;5;3;0;0;HB;ESP;E;E;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;27;3;2;5;2;1;0;BB;PRT;D;D;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;27;3;2;5;2;0;0;BB;DEU;E;E;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;27;4;2;1;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;4;2;1;2;0;0;BB;FRA;D;D;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;27;4;2;4;1;2;0;BB;FRA;F;F;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;27;4;2;4;2;0;0;BB;PRT;;;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;27;4;2;5;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;27;4;2;5;2;2;0;BB;PRT;H;H;No Deposit;Canceled;09/06/2015;
Resort Hotel;2015;July;27;4;2;5;3;0;0;HB;PRT;D;D;No Deposit;Canceled;20/05/2015;
Resort Hotel;2015;July;27;4;2;5;2;0;0;BB;PRT;A;A;No Deposit;Canceled;22/04/2015;
Resort Hotel;;;;;2;5;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;27;4;2;5;2;0;1;BB;PRT;A;A;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;27;4;4;6;2;0;0;BB;GBR;D;D;No Deposit;Check-Out;14/07/2015;
Resort Hotel;2015;July;27;4;4;6;2;0;0;BB;PRT;D;D;No Deposit;Check-Out;14/07/2015;
Resort Hotel;2015;July;27;4;4;6;2;1;0;HB;PRT;D;D;No Deposit;Check-Out;14/07/2015;
Resort Hotel;2015;July;27;4;0;1;2;2;0;BB;PRT;H;G;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;4;0;1;2;0;0;BB;PRT;D;C;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;4;0;1;1;0;0;HB;PRT;A;A;No Deposit;Canceled;29/05/2015;
Resort Hotel;2015;July;27;4;0;1;1;0;0;BB;PRT;E;G;No Deposit;No-Show;04/07/2015;
Resort Hotel;2015;July;27;4;0;1;2;0;0;BB;PRT;A;A;No Deposit;Canceled;13/05/2015;
Resort Hotel;2015;July;27;4;0;1;2;0;0;BB;PRT;D;D;No Deposit;Canceled;16/06/2015;
Resort Hotel;2015;July;27;4;0;1;4;0;0;FB;PRT;H;H;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;4;0;1;2;0;0;BB;ESP;E;E;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;4;1;1;2;0;0;BB;FRA;A;C;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;4;1;1;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;4;1;1;2;0;0;BB;FRA;A;A;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;4;1;1;2;0;0;BB;FRA;A;C;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;2;0;0;BB;PRT;D;D;No Deposit;Canceled;01/07/2015;
Resort Hotel;2015;July;28;5;1;0;2;0;0;BB;ESP;A;C;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;1;0;0;BB;DEU;A;A;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;1;0;0;BB;PRT;A;D;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;2;0;0;BB;PRT;A;E;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;1;0;0;BB;DEU;A;A;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;1;0;2;0;0;BB;PRT;D;D;No Deposit;Canceled;01/07/2015;
Resort Hotel;2015;July;28;5;1;0;2;0;0;BB;PRT;G;G;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;5;2;0;3;0;0;HB;PRT;G;G;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;28;5;2;0;2;0;0;BB;FRA;D;E;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;28;5;2;2;2;0;0;BB;ESP;D;D;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;28;5;2;3;2;1;0;BB;CN;A;D;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;5;2;3;2;0;0;BB;ESP;E;E;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;5;2;3;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;5;2;4;2;0;0;BB;ESP;H;H;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;28;5;2;4;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;28;5;2;4;2;2;0;BB;PRT;H;H;No Deposit;Canceled;17/06/2015;
Resort Hotel;2015;July;28;5;2;5;2;0;0;HB;PRT;D;D;No Deposit;Canceled;01/05/2015;
Resort Hotel;2015;July;28;5;2;5;2;2;0;HB;PRT;C;C;No Deposit;Check-Out;12/07/2015;
Resort Hotel;2015;July;28;5;2;5;2;0;0;BB;IRL;F;F;No Deposit;Check-Out;12/07/2015;
Resort Hotel;2015;July;28;5;2;5;2;0;0;HB;PRT;A;A;No Deposit;Canceled;30/03/2015;
Resort Hotel;2015;July;28;5;2;5;2;0;0;BB;ESP;E;E;No Deposit;Check-Out;12/07/2015;
Resort Hotel;2015;July;28;5;4;5;2;2;0;BB;CHE;H;H;No Deposit;Check-Out;14/07/2015;
Resort Hotel;2015;July;28;5;4;6;2;0;0;BB;PRT;D;D;No Deposit;Check-Out;15/07/2015;
Resort Hotel;2015;July;28;5;4;6;3;0;0;BB;PRT;D;C;No Deposit;Check-Out;15/07/2015;
Resort Hotel;2015;July;28;5;4;7;2;0;0;BB;GBR;D;D;No Deposit;Check-Out;16/07/2015;
Resort Hotel;2015;July;28;5;4;10;1;0;0;HB;GBR;A;A;No Deposit;Check-Out;19/07/2015;
Resort Hotel;2015;July;28;5;4;10;2;0;0;HB;GBR;D;D;No Deposit;Check-Out;19/07/2015;
Resort Hotel;2015;July;28;6;1;4;2;2;0;BB;PRT;G;G;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;28;6;1;3;2;0;0;BB;PRT;A;C;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;3;2;0;0;BB;USA;G;G;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;3;3;0;0;BB;CN;D;D;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;3;2;2;0;HB;CHE;G;G;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;3;2;0;1;BB;PRT;D;E;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;3;3;0;0;BB;USA;G;G;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;0;0;2;0;0;BB;PRT;A;H;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;6;0;0;1;0;0;BB;PRT;E;H;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;28;6;1;0;2;1;0;BB;PRT;A;E;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;28;6;1;1;2;0;0;BB;PRT;A;E;No Deposit;Check-Out;08/07/2015;
Resort Hotel;2015;July;28;6;1;1;2;0;0;BB;USA;D;F;No Deposit;Check-Out;08/07/2015;
Resort Hotel;2015;July;28;6;1;2;2;0;0;BB;GRC;D;D;No Deposit;Check-Out;09/07/2015;
Resort Hotel;2015;July;28;6;1;3;2;0;0;HB;PRT;E;E;No Deposit;Canceled;03/06/2015;
Resort Hotel;2015;July;28;6;1;3;2;0;0;HB;PRT;A;E;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;3;2;0;0;BB;PRT;A;C;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;6;1;4;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;28;6;1;4;2;0;0;HB;PRT;F;F;No Deposit;Check-Out;11/07/2015;
Resort Hotel;2015;July;28;6;1;5;2;0;0;HB;ESP;A;C;No Deposit;Check-Out;12/07/2015;
Resort Hotel;2015;July;28;6;1;5;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;12/07/2015;
Resort Hotel;2015;July;28;6;2;5;2;2;0;HB;PRT;G;G;No Deposit;Check-Out;13/07/2015;
Resort Hotel;2015;July;28;6;2;5;1;0;0;HB;PRT;A;A;No Deposit;Canceled;26/06/2015;
Resort Hotel;2015;July;28;6;2;5;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;13/07/2015;
Resort Hotel;2015;July;28;6;3;5;2;0;0;HB;PRT;A;C;No Deposit;Check-Out;14/07/2015;
Resort Hotel;2015;July;28;6;3;7;2;0;0;BB;PRT;D;D;No Deposit;Canceled;14/05/2015;
Resort Hotel;2015;July;28;6;3;7;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;16/07/2015;
Resort Hotel;2015;July;28;6;3;7;2;0;0;BB;GBR;D;D;No Deposit;Check-Out;16/07/2015;
Resort Hotel;2015;July;28;6;3;7;2;0;0;HB;PRT;F;F;No Deposit;Check-Out;16/07/2015;
Resort Hotel;2015;July;28;6;3;7;2;0;0;HB;GBR;D;D;No Deposit;Check-Out;16/07/2015;
Resort Hotel;2015;July;28;6;3;8;1;0;0;BB;FRA;A;A;No Deposit;Check-Out;17/07/2015;
Resort Hotel;2015;July;28;6;4;10;2;0;0;BB;ITA;D;D;No Deposit;Check-Out;20/07/2015;
Resort Hotel;2015;July;28;6;4;10;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;20/07/2015;
Resort Hotel;2015;July;28;6;2;5;2;0;0;BB;PRT;D;D;No Deposit;Check-Out;13/07/2015;
Resort Hotel;2015;July;28;7;0;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;07/05/2015;
Resort Hotel;2015;July;28;7;0;3;2;0;0;BB;ESP;A;A;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;7;0;3;2;1;0;HB;PRT;F;F;No Deposit;Check-Out;10/07/2015;
Resort Hotel;2015;July;28;7;0;0;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;28;7;0;0;2;0;0;BB;PRT;A;E;No Deposit;Check-Out;07/07/2015;
Resort Hotel;2015;July;28;7;0;1;1;0;0;BB;GBR;A;A;No Deposit;Check-Out;08/07/2015;
Resort Hotel;2015;July;28;7;0;1;3;0;0;HB;PRT;C;C;No Deposit;Check-Out;08/07/2015;
Resort Hotel;2015;July;28;7;0;1;1;0;0;BB;GBR;A;A;No Deposit;Check-Out;08/07/2015;
